batter,collapse_balls,collapse_runs,collapse_pressure_exposure,collapse_weighted_runs,collapse_dismissals,collapse_boundaries,collapse_sr_raw,collapse_pressure_sr_raw,collapse_boundary_rate_raw,collapse_dismissal_rate_raw,collapse_pressure_sr_raw_norm,collapse_pressure_exposure_norm,collapse_boundary_rate_raw_norm,collapse_balls_norm,collapse_dismissal_temp,collapse_dismissal_rate_norm,collapse_specialist_score
Ashutosh Sharma,90,153,264.3,452.1,4,21,170.0,171.05561861521,0.23333333333333334,0.044444444444444446,0.7302913831538402,0.1093017637110413,0.7194444444444444,0.13084112149532712,0.09914529914529915,0.9008547008547009,0.5005557300080402
Azhar Mahmood,26,16,66.0,38.3,5,2,61.53846153846154,58.030303030303024,0.07692307692307693,0.19230769230769232,0.15902648834513844,0.013481517274704036,0.23717948717948717,0.011214953271028033,0.4289940828402367,0.5710059171597632,0.15338940802302808
B Akhil,29,45,101.8,146.6,4,6,155.17241379310346,144.00785854616896,0.20689655172413793,0.13793103448275862,0.593583640019566,0.030780381734718525,0.6379310344827586,0.016822429906542057,0.3076923076923077,0.6923076923076923,0.38289315832969206
B Kumar,233,207,1048.2,919.4,20,23,88.8412017167382,87.71226865102079,0.09871244635193133,0.08583690987124463,0.3090483208902282,0.4880889103648224,0.3043633762517882,0.3981308411214953,0.1914823374050842,0.8085176625949158,0.4164150387682696
B Lee,49,60,187.9,226.8,5,8,122.44897959183673,120.70250133049494,0.16326530612244897,0.10204081632653061,0.47579115813713474,0.07238463396955787,0.5034013605442176,0.05420560747663551,0.22762951334379908,0.7723704866562009,0.34550115770913464
B Sumanth,22,22,74.5,76.4,1,3,100.0,102.5503355704698,0.13636363636363635,0.045454545454545456,0.3840444993484588,0.0175887895626963,0.42045454545454536,0.003738317757009342,0.1013986013986014,0.8986013986013985,0.29230184150450766
BA Stokes,68,101,185.8,277.7,8,12,148.52941176470588,149.46178686759956,0.17647058823529413,0.11764705882352941,0.621149480227247,0.07136989611017154,0.5441176470588235,0.08971962616822429,0.26244343891402716,0.7375565610859729,0.4040760391997338
BCJ Cutting,37,61,128.8,205.20000000000002,4,8,164.86486486486487,159.31677018633542,0.21621621621621623,0.10810810810810811,0.6709596132915507,0.043827011355399854,0.6666666666666666,0.03177570093457943,0.24116424116424118,0.7588357588357588,0.42644254851465546
BJ Hodge,155,200,502.3,647.2,15,24,129.03225806451613,128.84730240891898,0.15483870967741936,0.0967741935483871,0.5169575013340126,0.22430538777482484,0.4774193548387097,0.25233644859813087,0.21588089330024815,0.7841191066997518,0.42488675359611183
BJ Rohrer,22,36,68.10000000000001,133.4,3,5,163.63636363636365,195.88839941262847,0.22727272727272727,0.13636363636363635,0.8558039361304157,0.014496255134090363,0.7007575757575757,0.003738317757009342,0.30419580419580416,0.6958041958041958,0.47841024503677543
Bipul Sharma,74,119,295.8,488.20000000000005,4,14,160.8108108108108,165.04394861392834,0.1891891891891892,0.05405405405405406,0.6999065440305474,0.12452283160183619,0.5833333333333333,0.10093457943925233,0.12058212058212059,0.8794178794178794,0.46667997316882637
C Green,28,31,91.5,98.30000000000001,2,3,110.71428571428572,107.43169398907104,0.10714285714285714,0.07142857142857142,0.408716394216392,0.025803334138680835,0.3303571428571428,0.014953271028037382,0.15934065934065933,0.8406593406593407,0.2853640676591185
C de Grandhomme,110,134,346.0,382.6,6,16,121.81818181818183,110.57803468208094,0.14545454545454545,0.05454545454545454,0.42461897299463397,0.14877989852621407,0.44848484848484843,0.16822429906542055,0.12167832167832168,0.8783216783216783,0.36615015514438354
CA Pujara,33,39,90.8,105.3,4,6,118.18181818181819,115.96916299559471,0.18181818181818182,0.12121212121212122,0.45186740254319896,0.025465088185552064,0.5606060606060606,0.024299065420560748,0.2703962703962704,0.7296037296037297,0.32521600480087376
CH Gayle,68,104,171.1,287.6,15,18,152.94117647058823,168.08883693746347,0.2647058823529412,0.22058823529411764,0.7152963511622235,0.06426673109446726,0.8161764705882353,0.08971962616822429,0.49208144796380093,0.5079185520361991,0.4530966753974839
CH Morris,177,250,608.0,882.5,12,28,141.24293785310735,145.14802631578948,0.15819209039548024,0.06779661016949153,0.5993464004914644,0.27538052669726987,0.487758945386064,0.29345794392523367,0.15123859191655803,0.848761408083442,0.48067504605136885
CJ Anderson,24,7,73.4,19.5,8,0,29.166666666666668,26.56675749318801,0.0,0.3333333333333333,0.0,0.01705726020777966,0.0,0.007476635514018691,0.7435897435897436,0.2564102564102564,0.031026836020073358
CJ Jordan,29,28,132.5,115.6,4,2,96.55172413793103,87.24528301886792,0.06896551724137931,0.13793103448275862,0.3066880311033921,0.045614882821937666,0.21264367816091953,0.016822429906542057,0.3076923076923077,0.6923076923076923,0.2223952170325601
CL White,26,13,81.8,32.8,8,0,50.0,40.09779951100244,0.0,0.3076923076923077,0.06839007044534273,0.021116211645324956,0.0,0.011214953271028033,0.6863905325443788,0.31360946745562124,0.06225876730341753
CM Gautam,46,53,166.9,178.5,2,7,115.21739130434783,106.95026962252845,0.15217391304347827,0.043478260869565216,0.4062831266011851,0.062237255375694606,0.4692028985507246,0.048598130841121495,0.09698996655518395,0.903010033444816,0.32572956590759694
CR Woakes,28,29,116.7,114.7,2,3,103.57142857142858,98.28620394173093,0.10714285714285714,0.07142857142857142,0.36249225953620157,0.03798018845131674,0.3303571428571428,0.014953271028037382,0.15934065934065933,0.8406593406593407,0.27222983409921087
CV Varun,20,11,108.9,59.1,0,0,55.00000000000001,54.26997245179063,0.0,0.0,0.14002061482677525,0.034211162116453246,0.0,0.0,0.0,1.0,0.15756000571848466
D Pretorius,27,44,107.8,162.8,3,6,162.96296296296296,151.02040816326533,0.2222222222222222,0.1111111111111111,0.6290272342145493,0.0336796327615366,0.6851851851851851,0.013084112149532708,0.24786324786324787,0.7521367521367521,0.40853350997935933
D Wiese,67,91,259.2,347.1,4,13,135.82089552238804,133.91203703703704,0.19402985074626866,0.05970149253731343,0.542556236268686,0.10683740033824593,0.5982587064676617,0.08785046728971962,0.13318025258323765,0.8668197474167624,0.40620238358388494
DA Miller,260,392,734.7,1120.6,26,52,150.76923076923077,152.52484007077715,0.2,0.1,0.6366310982776049,0.3366030442135781,0.6166666666666667,0.4485981308411215,0.2230769230769231,0.7769230769230769,0.5444536727690322
DA Warner,170,233,468.2,618.1,20,31,137.05882352941177,132.0162323793251,0.18235294117647058,0.11764705882352941,0.5329742533053021,0.20782797777240877,0.5622549019607842,0.28037383177570097,0.26244343891402716,0.7375565610859729,0.438647949269028
DB Das,78,90,223.0,241.7,5,12,115.38461538461537,108.38565022421524,0.15384615384615385,0.0641025641025641,0.41353798401246183,0.08934525247644358,0.47435897435897434,0.10841121495327102,0.1429980276134122,0.8570019723865878,0.34019033315896813
DB Ravi Teja,51,50,154.4,146.3,8,6,98.0392156862745,94.75388601036269,0.11764705882352941,0.1568627450980392,0.34463883244288734,0.056197149069823635,0.3627450980392156,0.05794392523364486,0.3499245852187029,0.650075414781297,0.2627837735915252
DH Yagnik,35,32,133.6,119.6,3,4,91.42857142857143,89.52095808383234,0.11428571428571428,0.08571428571428572,0.3181899965690765,0.04614641217685431,0.35238095238095235,0.028037383177570097,0.19120879120879122,0.8087912087912088,0.2608449730562896
DJ Bravo,225,306,730.7,974.5,23,37,136.0,133.36526618311208,0.16444444444444445,0.10222222222222223,0.5397926872997185,0.3346702101956994,0.507037037037037,0.38317757009345793,0.22803418803418807,0.7719658119658119,0.48332376536998173
DJ Hooda,149,153,438.5,440.5,24,15,102.68456375838926,100.45610034207526,0.10067114093959731,0.1610738255033557,0.3734595869218728,0.19347668518965933,0.31040268456375836,0.2411214953271028,0.3593185338151781,0.6406814661848219,0.3258768003221817
DJ Hussey,91,120,261.1,349.4,10,13,131.86813186813185,133.8184603600153,0.14285714285714285,0.10989010989010989,0.5420832708071102,0.10775549649673835,0.4404761904761904,0.13271028037383178,0.2451394759087067,0.7548605240912933,0.37813204194330574
DJ Willey,33,31,127.60000000000001,127.10000000000001,2,3,93.93939393939394,99.60815047021944,0.09090909090909091,0.06060606060606061,0.369173786065295,0.04324716115003624,0.2803030303030303,0.024299065420560748,0.1351981351981352,0.8648018648018648,0.2721931162490874
DJG Sammy,24,32,78.4,100.9,4,3,133.33333333333331,128.69897959183675,0.125,0.16666666666666666,0.5162078319518948,0.019473302730128053,0.38541666666666663,0.007476635514018691,0.3717948717948718,0.6282051282051282,0.30729557501331084
DL Chahar,32,38,140.20000000000002,152.20000000000002,6,4,118.75,108.55920114122681,0.125,0.1875,0.41441516401269013,0.04933558830635419,0.38541666666666663,0.022429906542056073,0.4182692307692308,0.5817307692307692,0.2767292673854154
