bowler,momentum_balls,momentum_runs,momentum_pressure_exposure,momentum_weighted_runs,momentum_wickets,momentum_dot_balls,momentum_economy_raw,momentum_dot_rate_raw,momentum_wicket_rate_raw,momentum_pressure_exposure_norm,momentum_dot_rate_raw_norm,momentum_wicket_rate_raw_norm,momentum_balls_norm,momentum_eco_temp,momentum_economy_norm,momentum_breaker_score
BE Hendricks,42,93,111.4,241.7,1,11,13.285714285714286,0.2619047619047619,0.023809523809523808,0.043650287172941934,0.7158730158730159,0.18095238095238095,0.029126213592233004,0.3497977432403663,0.6502022567596337,0.4500071701011195
BJ Hodge,30,72,96.4,217.8,2,8,14.399999999999999,0.26666666666666666,0.06666666666666667,0.034077855775366955,0.7288888888888889,0.5066666666666667,0.009708737864077666,0.4527570789865869,0.5472429210134131,0.4794692372741946
BW Hilfenhaus,46,101,127.2,305.8,3,14,13.173913043478262,0.30434782608695654,0.06521739130434782,0.05373324824505425,0.8318840579710146,0.4956521739130435,0.03559870550161812,0.3394673751052939,0.6605326248947061,0.5472210633631768
Basil Thampi,92,234,294.3,736.5,1,9,15.260869565217392,0.09782608695652174,0.010869565217391304,0.16037013401403957,0.2673913043478261,0.08260869565217392,0.11003236245954692,0.5323009136266441,0.4676990863733559,0.2741044950954245
Bipul Sharma,60,141,147.9,392.6,2,11,14.100000000000001,0.18333333333333332,0.03333333333333333,0.06694320357370773,0.5011111111111111,0.25333333333333335,0.058252427184466014,0.42503725782414303,0.574962742175857,0.38970096728181175
C Green,63,139,163.4,377.90000000000003,0,10,13.238095238095239,0.15873015873015872,0.0,0.07683471601786854,0.43386243386243384,0.0,0.06310679611650485,0.3453977716272798,0.6546022283727202,0.35157053960949786
C Sakariya,49,102,135.3,299.2,0,7,12.489795918367347,0.14285714285714285,0.0,0.05890236119974475,0.3904761904761905,0.0,0.040453074433656956,0.27625536056449396,0.723744639435506,0.36086521498481483
CH Gayle,70,164,217.0,528.7,0,14,14.057142857142857,0.2,0.0,0.11104020421186983,0.5466666666666667,0.0,0.0744336569579288,0.4210772833723653,0.5789227166276347,0.35783700360331866
CH Morris,254,547,745.0,1623.2,11,50,12.921259842519685,0.1968503937007874,0.04330708661417323,0.4479897894065093,0.5380577427821522,0.3291338582677166,0.37216828478964403,0.3161223699496578,0.6838776300503422,0.5217141852863165
CJ Anderson,52,140,151.6,426.6,2,6,16.153846153846153,0.11538461538461539,0.038461538461538464,0.06930440331844288,0.31538461538461543,0.2923076923076923,0.04530744336569579,0.6148114180901065,0.38518858190989347,0.2835848806445689
CJ Jordan,104,264,353.9,915.8,1,11,15.23076923076923,0.10576923076923077,0.009615384615384616,0.19840459476707084,0.28910256410256413,0.07307692307692308,0.12944983818770225,0.5295196606672015,0.47048033933279854,0.2843445877029825
CR Brathwaite,38,88,151.0,317.09999999999997,5,7,13.894736842105264,0.18421052631578946,0.13157894736842105,0.06892150606253988,0.5035087719298246,1.0,0.022653721682847898,0.40607106439720764,0.5939289356027924,0.5429098432179723
CR Woakes,48,90,118.8,215.7,2,12,11.25,0.25,0.041666666666666664,0.04837268666241225,0.6833333333333333,0.31666666666666665,0.03883495145631068,0.16169895678092394,0.8383010432190761,0.5362927956052155
CRD Fernando,49,92,124.19999999999999,232.1,3,16,11.26530612244898,0.32653061224489793,0.061224489795918366,0.05181876196553924,0.8925170068027211,0.4653061224489796,0.040453074433656956,0.1631132333708445,0.8368867666291555,0.6183280281506003
CV Varun,254,520,625.9,1331.4,10,65,12.283464566929133,0.2559055118110236,0.03937007874015748,0.3719846841097639,0.6994750656167978,0.2992125984251969,0.37216828478964403,0.2571904666909184,0.7428095333090816,0.5691099196373581
D Wiese,30,72,93.8,231.0,0,3,14.399999999999999,0.1,0.0,0.032418634333120616,0.2733333333333334,0.0,0.009708737864077666,0.4527570789865869,0.5472429210134131,0.2640810929077477
DE Bollinger,102,231,290.3,662.9,5,22,13.588235294117647,0.21568627450980393,0.049019607843137254,0.15781748564135292,0.5895424836601307,0.37254901960784315,0.1262135922330097,0.37775050407644417,0.6222494959235558,0.4680858561972821
DJ Bravo,502,999,1610.0,3291.6,19,104,11.9402390438247,0.20717131474103587,0.037848605577689244,1.0000000000000002,0.5662682602921647,0.2876494023904383,0.7734627831715211,0.2254766329614477,0.7745233670385523,0.6475264023317743
DJ Hooda,40,101,109.2,265.7,1,3,15.149999999999999,0.075,0.025,0.04224633056796426,0.205,0.19000000000000003,0.025889967637540458,0.5220566318926974,0.47794336810730265,0.2633438086581064
DJ Hussey,45,101,139.0,309.6,1,7,13.466666666666667,0.15555555555555556,0.022222222222222223,0.06126356094447989,0.4251851851851852,0.1688888888888889,0.03398058252427185,0.3665176353700943,0.6334823646299057,0.37131731604141627
DJ Willey,40,76,98.8,201.8,2,10,11.399999999999999,0.25,0.05,0.03560944479897894,0.6833333333333333,0.38000000000000006,0.025889967637540458,0.17555886736214577,0.8244411326378542,0.5415376710002342
DJG Sammy,39,93,96.2,239.5,1,6,14.307692307692307,0.15384615384615385,0.02564102564102564,0.03395022335673262,0.4205128205128205,0.19487179487179487,0.02427184466019417,0.4442279032442964,0.5557720967557036,0.344445004768753
DL Chahar,241,497,551.7,1151.8999999999999,10,56,12.373443983402488,0.23236514522821577,0.04149377593360996,0.32463305679642634,0.6351313969571232,0.3153526970954357,0.35113268608414244,0.26550451113405993,0.7344954888659401,0.5465033840495038
DL Vettori,77,170,239.1,549.6,0,13,13.246753246753247,0.16883116883116883,0.0,0.12514358647096363,0.4614718614718615,0.0,0.08576051779935276,0.34619776646602274,0.6538022335339773,0.36528915753188906
