batter,pressure_adjusted_sr_reliable,pressure_exposure,pressure_boundary_rate_raw,pressure_dismissal_rate_raw,death_specialist_score,high_rrr_specialist_score,collapse_specialist_score,stabilizer_score,accelerator_score,cluster,batter_role
LA Pomersbach,98.09122751615534,170.1,0.0840681951793063,0.08994708994708996,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
LMP Simmons,106.43459499284288,355.7,0.1447849311217318,0.03542310936182176,0.0,0.46266169153112746,0.0,0.0,0.4295057893269439,0,Anchor / Stabilizer
LR Shukla,83.63257861185818,325.9,0.08499539736115373,0.0975759435409635,0.0,0.0,0.2704301870380598,0.3823948887433596,0.0,1,Aggressive Accelerator
LRPL Taylor,118.74484255916046,837.7,0.13238629580995584,0.07222155903067924,0.41570803810659607,0.368947934728032,0.26915237524747393,0.35853754581959396,0.348341327676231,0,Anchor / Stabilizer
LS Livingstone,150.55273500371564,450.7,0.23740847570445975,0.07588196139338807,0.0,0.6018532470877347,0.5209855994871876,0.45595115115366414,0.600736007400821,0,Anchor / Stabilizer
Lalit Yadav,100.45857808682928,488.90000000000003,0.1286561669052976,0.07874821026794845,0.0,0.2817909488119864,0.34108156752454255,0.4256109086918658,0.26080167032793244,0,Anchor / Stabilizer
M Kaif,99.97129780933525,231.5,0.13347732181425484,0.07473002159827215,0.0,0.0,0.3097600503349336,0.3192883534586206,0.0,1,Aggressive Accelerator
M Kartik,95.1500859512597,147.6,0.03523035230352304,0.03997289972899729,0.0,0.0,0.2534526158554542,0.4139445004555081,0.0,1,Aggressive Accelerator
M Manhas,101.11163068647086,445.8,0.09959623149394346,0.0769403319874383,0.24370546845461943,0.0,0.3060207813595321,0.3670505567890465,0.0,1,Aggressive Accelerator
M Morkel,136.8497904035237,338.0,0.2183431952662722,0.09201183431952663,0.0,0.0,0.46784174867205786,0.4700933988861108,0.0,1,Aggressive Accelerator
M Rawat,93.04961410600748,225.8,0.09831709477413642,0.02612931798051373,0.0,0.0,0.28321238085569406,0.43499058887422015,0.0,1,Aggressive Accelerator
M Shahrukh Khan,120.86127617985731,346.2,0.16175621028307338,0.06990179087232813,0.0,0.0,0.3915868960730867,0.46094126241637146,0.0,1,Aggressive Accelerator
M Vijay,85.26158674954169,796.7,0.10618802560562318,0.07694238734780971,0.0,0.0,0.1854372818587562,0.1891226947500001,0.0,1,Aggressive Accelerator
M Vohra,117.54209422839135,391.5,0.1652618135376756,0.07228607918263091,0.0,0.0,0.5053246689719673,0.4236865616778126,0.0,1,Aggressive Accelerator
MA Agarwal,117.6224878259428,1035.7,0.16858163560876702,0.07791831611470502,0.0,0.325868530434668,0.32366173390549624,0.33497729100472945,0.29131361590871513,0,Anchor / Stabilizer
MA Starc,105.87061771162348,231.70000000000002,0.13336210617177385,0.07768666378938281,0.0,0.0,0.32931315458769483,0.4190497024646228,0.0,1,Aggressive Accelerator
MC Henriques,101.23911033556692,281.7,0.1217607383741569,0.1068512602058928,0.0,0.0,0.2521618805079656,0.27956232683193205,0.0,1,Aggressive Accelerator
MC Juneja,105.06583456218311,118.9,0.14045416316232126,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
MD Mishra,109.39481419670292,137.8,0.16908563134978227,0.09869375907111755,0.0,0.0,0.0,0.0,0.0,3,Balanced Pressure Batter
