batter,bowler,balls,runs,dismissals,boundaries,strike_rate,dismissal_rate,boundary_rate,strike_rate_norm,boundary_rate_norm,dismissal_rate_temp,dismissal_rate_norm,batter_matchup_score,bowler_matchup_score
AB de Villiers,JP Faulkner,8,13,0,2,162.5,0.0,0.25,0.31597222222222215,0.25,0.0,1.0,0.47048611111111105,0.529513888888889
AB de Villiers,K Rabada,6,8,0,1,133.33333333333331,0.0,0.16666666666666666,0.2592592592592592,0.16666666666666666,0.0,1.0,0.4212962962962963,0.5787037037037037
AB de Villiers,KA Pollard,6,3,0,0,50.0,0.0,0.0,0.09722222222222221,0.0,0.0,1.0,0.2986111111111111,0.7013888888888888
AB de Villiers,KH Pandya,9,8,0,0,88.88888888888889,0.0,0.0,0.17283950617283947,0.0,0.0,1.0,0.33641975308641975,0.6635802469135803
AB de Villiers,KP Appanna,8,9,1,0,112.5,0.125,0.0,0.21874999999999997,0.0,0.2916666666666667,0.7083333333333333,0.2864583333333333,0.7135416666666667
AB de Villiers,KV Sharma,6,3,0,0,50.0,0.0,0.0,0.09722222222222221,0.0,0.0,1.0,0.2986111111111111,0.7013888888888888
AB de Villiers,Kartik Tyagi,8,7,0,1,87.5,0.0,0.125,0.17013888888888887,0.125,0.0,1.0,0.3663194444444444,0.6336805555555556
AB de Villiers,L Balaji,16,23,2,3,143.75,0.125,0.1875,0.27951388888888884,0.1875,0.2916666666666667,0.7083333333333333,0.36371527777777773,0.6362847222222223
AB de Villiers,M Ashwin,11,14,1,2,127.27272727272727,0.09090909090909091,0.18181818181818182,0.24747474747474743,0.18181818181818182,0.21212121212121213,0.7878787878787878,0.36616161616161613,0.6338383838383839
AB de Villiers,M Kartik,14,12,0,1,85.71428571428571,0.0,0.07142857142857142,0.16666666666666663,0.07142857142857142,0.0,1.0,0.35119047619047616,0.6488095238095238
AB de Villiers,M Markande,8,8,0,1,100.0,0.0,0.125,0.19444444444444442,0.125,0.0,1.0,0.3784722222222222,0.6215277777777778
AB de Villiers,M Morkel,10,11,0,2,110.00000000000001,0.0,0.2,0.21388888888888888,0.2,0.0,1.0,0.40694444444444444,0.5930555555555556
AB de Villiers,M Muralitharan,17,20,0,2,117.64705882352942,0.0,0.11764705882352941,0.22875816993464052,0.11764705882352941,0.0,1.0,0.3937908496732026,0.6062091503267975
AB de Villiers,MC Henriques,21,39,1,5,185.71428571428572,0.047619047619047616,0.23809523809523808,0.36111111111111105,0.23809523809523808,0.11111111111111112,0.8888888888888888,0.46230158730158727,0.5376984126984128
