batter,high_rrr_balls,high_rrr_runs,high_rrr_pressure_exposure,high_rrr_weighted_runs,high_rrr_boundaries,high_rrr_dismissals,high_rrr_sr_raw,high_rrr_pressure_sr_raw,high_rrr_boundary_rate_raw,high_rrr_dismissal_rate_raw,high_rrr_pressure_sr_raw_norm,high_rrr_pressure_exposure_norm,high_rrr_boundary_rate_raw_norm,high_rrr_balls_norm,high_rrr_dismissal_temp,high_rrr_dismissal_rate_norm,high_rrr_specialist_score
Gurkeerat Singh,74,61,196.20000000000002,155.9,3,6,82.43243243243244,79.45973496432211,0.04054054054054054,0.08108108108108109,0.12021871668770534,0.019620088472547495,0.0,0.007017543859649131,0.3869532182785196,0.6130467817214804,0.1140179369277046
H Klaasen,125,187,375.7,528.5,21,4,149.6,140.67074793718393,0.168,0.032,0.5511745181191433,0.11303669008587042,0.5602596448254746,0.09649122807017545,0.09680321285140564,0.9031967871485944,0.4550978757518034
HH Pandya,192,280,538.4,708.3,36,17,145.83333333333331,131.55646359583952,0.1875,0.08854166666666667,0.48700544915536836,0.19771012230028623,0.6459736680955298,0.21403508771929824,0.4310575635876841,0.5689424364123159,0.44183669015447197
HV Patel,75,84,312.5,360.20000000000005,13,11,112.00000000000001,115.26400000000001,0.17333333333333334,0.14666666666666667,0.3722984484829489,0.08014571948998178,0.5837027964890795,0.00877192982456139,0.7746720214190095,0.22532797858099052,0.305099073429547
Harbhajan Singh,179,204,748.9,806.6,26,18,113.96648044692736,107.70463346241155,0.1452513966480447,0.1005586592178771,0.3190767697963902,0.3072599531615925,0.46026609010389774,0.19122807017543864,0.5020977765811852,0.49790222341881485,0.3500489459310795
IK Pathan,244,310,801.6,1081.9,35,16,127.04918032786885,134.96756487025948,0.14344262295081966,0.06557377049180328,0.5110212889868903,0.3346864428831642,0.45231546083342533,0.30526315789473685,0.2952794785700178,0.7047205214299822,0.46280726427054597
Ishan Kishan,234,314,576.1,748.8,40,9,134.18803418803418,129.97743447318172,0.17094017094017094,0.038461538461538464,0.4758883032695411,0.2173302107728337,0.573183433563103,0.28771929824561404,0.1350015446400989,0.864998455359901,0.4637298255355553
JA Morkel,107,156,397.1,581.0,19,5,145.79439252336448,146.3107529589524,0.17757009345794392,0.04672897196261682,0.5908829425706579,0.12417382253447828,0.6023258608947468,0.06491228070175438,0.1838756896745862,0.8161243103254138,0.46975677281682504
JC Buttler,172,240,422.4,565.4,33,8,139.53488372093022,133.85416666666669,0.19186046511627908,0.046511627906976744,0.5031824150353288,0.13734061930783242,0.6651404890414276,0.17894736842105263,0.1825908284299991,0.8174091715700009,0.46140484168308893
JD Unadkat,76,82,326.20000000000005,352.8,11,6,107.89473684210526,108.15450643776823,0.14473684210526316,0.07894736842105263,0.32224409801432274,0.08727556596409058,0.4580043188190931,0.010526315789473675,0.3743394631156204,0.6256605368843796,0.30157230142975117
JH Kallis,166,178,384.7,405.5,18,8,107.2289156626506,105.40681050168963,0.10843373493975904,0.04819277108433735,0.30289895983228277,0.11772053083528494,0.2984307099801533,0.16842105263157897,0.19252915275560076,0.8074708472443992,0.3019790220835986
JM Bairstow,103,161,207.0,315.09999999999997,26,6,156.31067961165047,152.22222222222223,0.2524271844660194,0.05825242718446602,0.6325026095269823,0.02524069737184491,0.9313670116944811,0.05789473684210526,0.25199828439973493,0.7480017156002651,0.5249122308682952
JP Duminy,163,221,391.3,496.3,20,8,135.58282208588957,126.83363148479427,0.12269938650306748,0.049079754601226995,0.4537543755561778,0.12115534738485559,0.36113667870117483,0.1631578947368421,0.19777268583536603,0.802227314164634,0.37449867632982486
JP Faulkner,130,191,487.6,722.5,22,7,146.92307692307693,148.17473338802296,0.16923076923076924,0.05384615384615385,0.6040062865679017,0.17127244340359093,0.5656696029016912,0.10526315789473685,0.2259499536607971,0.7740500463392029,0.47692224431161107
JR Hopes,102,158,226.5,328.8,25,4,154.90196078431373,145.1655629139073,0.24509803921568626,0.0392156862745098,0.5828202383335541,0.03538901899557638,0.8991510872567031,0.05614035087719298,0.13945979998425073,0.8605402000157493,0.5117041716731718
K Rabada,81,71,406.3,356.70000000000005,8,8,87.65432098765432,87.79227172040365,0.09876543209876543,0.09876543209876543,0.1788838960610004,0.1289617486338798,0.25593280563682685,0.01929824561403508,0.4914968516039466,0.5085031483960534,0.20131260867955036
KA Pollard,479,654,1394.5,1763.5,84,31,136.53444676409185,126.46109716744354,0.17536534446764093,0.06471816283924843,0.4511315497361612,0.6432474629195941,0.5926346862147744,0.7175438596491228,0.290221428511541,0.709778571488459,0.5703612928350964
KC Sangakkara,89,93,197.3,188.4,10,7,104.49438202247192,95.48910288900151,0.11235955056179775,0.07865168539325842,0.23307339372894742,0.02019255789747594,0.3156869895484288,0.03333333333333334,0.37259148955372057,0.6274085104462794,0.22647945135872116
KD Karthik,419,508,1258.4,1539.9,64,34,121.24105011933175,122.36967577876669,0.15274463007159905,0.081145584725537,0.4223259198680084,0.572417382253448,0.4932032790287435,0.612280701754386,0.3873345410280742,0.6126654589719258,0.5045491162762729
KH Pandya,135,151,427.5,437.50000000000006,16,14,111.85185185185185,102.33918128654973,0.11851851851851852,0.1037037037037037,0.28130133315207684,0.13999479573250065,0.3427592932798077,0.11403508771929825,0.5206901680797263,0.47930983192027365,0.26840584302724957
KK Nair,80,76,215.70000000000002,186.70000000000002,9,8,95.0,86.55540101993509,0.1125,0.1,0.1701757146717492,0.029768410096278952,0.31630434782608696,0.017543859649122792,0.49879518072289164,0.5012048192771084,0.18915970534579601
