batter,death_balls,death_runs,death_pressure_exposure,death_weighted_runs,death_boundaries,death_dismissals,death_sr_raw,death_pressure_sr_raw,death_boundary_rate_raw,death_dismissal_rate_raw,death_pressure_sr_raw_norm,death_pressure_exposure_norm,death_boundary_rate_raw_norm,death_balls_norm,death_dismissal_temp,death_dismissal_rate_norm,death_specialist_score
IK Pathan,175,283,616.4,1006.8000000000001,40,13,161.71428571428572,163.33549643088904,0.22857142857142856,0.07428571428571429,0.6301356480578328,0.23686083155433563,0.595450568678915,0.17032967032967036,0.4033057433499716,0.5966942566500284,0.4952189319677531
JA Morkel,158,263,548.6,923.4,33,9,166.45569620253164,168.31935836675171,0.2088607594936709,0.056962025316455694,0.6662895925680148,0.20239910541831863,0.5162629987707232,0.13919413919413923,0.27913603815943433,0.7208639618405657,0.4962540679684848
JC Buttler,92,166,250.9,452.4,20,3,180.43478260869566,180.31088082901553,0.21739130434782608,0.03260869565217391,0.7532785267063444,0.051082647148520885,0.5505344440640572,0.018315018315018333,0.10458050497086707,0.895419495029133,0.5130082802594685
JH Kallis,107,193,256.8,443.7,28,6,180.37383177570095,172.7803738317757,0.2616822429906542,0.056074766355140186,0.6986507028188798,0.05408152892141914,0.7284731931873,0.04578754578754579,0.2727764986958876,0.7272235013041124,0.5132723302584615
JP Duminy,95,151,281.0,434.40000000000003,17,10,158.94736842105263,154.59074733096088,0.17894736842105263,0.10526315789473684,0.5666994658796558,0.06638202704076444,0.39608601556384393,0.023809523809523808,0.6253404408854955,0.37465955911450455,0.35902030316518685
JP Faulkner,123,203,507.4,842.0,27,8,165.04065040650406,165.94402837997634,0.21951219512195122,0.06504065040650407,0.6490584674605366,0.1814577615126563,0.5590551181102361,0.0750915750915751,0.33704059287386334,0.6629594071261367,0.4815310611305643
KA Pollard,351,641,1140.2,1927.8,93,28,182.62108262108262,169.07560077179443,0.26495726495726496,0.07977207977207977,0.671775528233973,0.503100538782149,0.7416305867749436,0.4926739926739927,0.44262995346586675,0.5573700465341332,0.6226608403258205
KD Karthik,329,570,993.1,1614.7,87,21,173.25227963525836,162.59188399959723,0.26443768996960487,0.06382978723404255,0.6247413327810489,0.4283318084781946,0.7395431953984474,0.45238095238095233,0.3283615797942917,0.6716384202057083,0.595873471146414
KH Pandya,96,138,297.7,369.9,17,8,143.75,124.25260329190459,0.17708333333333334,0.08333333333333333,0.3466204207044019,0.07487038731320524,0.3885972586759988,0.025641025641025633,0.4681556833259619,0.5318443166740381,0.287090231711108
KL Rahul,140,224,374.0,571.1,30,11,160.0,152.7005347593583,0.21428571428571427,0.07857142857142857,0.5529874808155393,0.1136525363423808,0.5380577427821521,0.10622710622710621,0.4340241359701775,0.5659758640298225,0.4187573451768152
KM Jadhav,112,138,383.7,485.5,17,7,123.21428571428572,126.53114412301278,0.15178571428571427,0.0625,0.3631494176614194,0.118582901291044,0.28696412948381445,0.054945054945054944,0.3188301636444052,0.6811698363555948,0.2999806623496044
KS Williamson,90,113,268.5,346.5,14,6,125.55555555555556,129.05027932960894,0.15555555555555556,0.06666666666666667,0.381423734976985,0.06002846396259022,0.3021094585399047,0.014652014652014655,0.34869526758071656,0.6513047324192834,0.29159275319842276
KV Sharma,109,149,494.6,624.7,18,9,136.69724770642202,126.30408410837039,0.1651376146788991,0.08256880733944955,0.36150227829931325,0.1749517129206059,0.3406053601098028,0.04945054945054947,0.46267584774131776,0.5373241522586822,0.3063897960967302
Kuldeep Yadav,112,93,554.2,423.8,9,5,83.03571428571429,76.47058823529412,0.08035714285714286,0.044642857142857144,0.0,0.20524550167734068,0.0,0.054945054945054944,0.1908368610602136,0.8091631389397864,0.12745991972395226
LRPL Taylor,86,146,242.3,378.0,18,5,169.7674418604651,156.00495253817581,0.20930232558139536,0.05813953488372093,0.5769583970550454,0.046711395750737,0.5180369895623512,0.007326007326007328,0.2875759851064049,0.7124240148935951,0.41570803810659607
M Manhas,85,106,271.7,329.6,10,5,124.70588235294117,121.31026867868975,0.11764705882352941,0.058823529411764705,0.3252761291278048,0.06165497611060282,0.14981215583346197,0.005494505494505503,0.2924786013476598,0.7075213986523402,0.24370546845461943
MK Pandey,149,227,446.1,701.4,26,8,152.3489932885906,157.22932078009413,0.174496644295302,0.053691275167785234,0.5858402124118911,0.15029988817728984,0.37820524112338305,0.12271062271062269,0.2556925278058946,0.7443074721941054,0.42673892031536387
MK Tiwary,121,177,425.8,656.7,26,12,146.28099173553719,154.22733677782998,0.21487603305785125,0.09917355371900827,0.5640632120786091,0.13998170173833485,0.5404293471580515,0.07142857142857142,0.5816924420921044,0.41830755790789564,0.4106811075443676
MP Stoinis,179,284,564.3000000000001,830.0,40,9,158.659217877095,147.08488392698916,0.22346368715083798,0.05027932960893855,0.5122504116120183,0.21037918064450545,0.5749302286934802,0.17765567765567766,0.2312369817082964,0.7687630182917036,0.4566039161071426
MS Dhoni,628,1088,2117.8,3616.2000000000003,151,35,173.2484076433121,170.75266786287656,0.24044585987261147,0.05573248407643312,0.6839413127864178,0.9999999999999999,0.6431560704593454,0.9999999999999999,0.27032314769689303,0.729676852303107,0.7751754244367469
Mandeep Singh,89,147,260.9,456.1,17,4,165.1685393258427,174.8179379072442,0.19101123595505617,0.0449438202247191,0.7134316055542353,0.05616549761106025,0.44455257699529127,0.01282051282051283,0.19299405155320556,0.8070059484467944,0.46749890326969523
