bowler,pressure_balls,pressure_exposure,total_runs_conceded,weighted_runs_conceded,wickets,weighted_wickets,dot_balls,weighted_dot_balls,pressure_avg_score_per_ball,pressure_economy_raw,pressure_dot_rate_raw,pressure_wicket_rate_raw,reliability_raw,pressure_economy_reliable,pressure_exposure_norm,pressure_dot_rate_raw_norm,pressure_wicket_rate_raw_norm,reliability_raw_norm,pressure_economy_norm_temp,pressure_economy_norm,bowler_clutch_index
Harbhajan Singh,1767,3214.2,2070,4126.0,98,183.9,658,1106.4,1.8190152801358233,7.702072055254807,0.34422251260033604,0.05721485906290835,1767,7.755763733102007,0.6488616275850319,0.5851943219645067,0.3598000891671219,0.6709625453080951,0.18063313759150956,0.8193668624084904,0.6402027827378616
Harmeet Singh,284,736.8000000000001,396,1033.9,12,30.3,92,223.6,2.5943661971830987,8.419381107491857,0.3034744842562432,0.04112377850162866,284,8.604088670475413,0.12122761058931274,0.45845607878015193,0.23516221794340808,0.07370116794200564,0.3592323486443483,0.6407676513556517,0.3885465957017876
Harpreet Brar,350,721.2,445,1016.0,14,29.5,112,207.6,2.0605714285714285,8.452579034941763,0.2878535773710482,0.04090404880754298,350,8.602660109101794,0.11790513918173494,0.4098705060290472,0.2334602414222428,0.10028191703584376,0.3589315913248019,0.6410684086751981,0.380754055107422
Harshit Rana,216,430.5,332,780.9,17,41.7,76,135.6,1.9930555555555556,10.883623693379791,0.31498257839721255,0.09686411149825784,216,10.652346237523066,0.05599216237514111,0.4942496053162172,0.6669142323307058,0.04631494160289973,0.7904553027170704,0.20954469728292957,0.31860373009497106
I Sharma,1277,2727.6,1684,3980.4,51,113.7,538,1059.8,2.135943617854346,8.755829300483942,0.38854670772840594,0.04168499780026397,1277,8.789642349758173,0.5452260771409708,0.7230554860349517,0.2395092957176559,0.47362062021747886,0.3982972626506016,0.6017027373493984,0.5322548880157044
I Udana,106,230.5,153,350.1,5,11.1,28,56.7,2.1745283018867925,9.113232104121476,0.24598698481561823,0.04815618221258134,106,9.286307592615238,0.013396375098502764,0.27965320216875866,0.28963362679509436,0.002013693113169554,0.5028609936264758,0.49713900637352415,0.2900668435995964
IC Pandey,248,430.6,300,582.6,15,21.7,117,184.1,1.7362903225806452,8.117974918718067,0.4275429633070134,0.050394797956339984,248,8.375567655212018,0.05601346026877943,0.8443452054065465,0.30697343811027544,0.05920257752718486,0.31112145240993616,0.6888785475900638,0.4856934971529221
IK Pathan,847,1903.0,1093,2690.2,39,93.8,349,694.8,2.2467532467532467,8.481975827640568,0.3651077246452969,0.049290593799264315,847,8.547262996011886,0.3696036461993909,0.6501534179177909,0.2984205224120309,0.3004430124848973,0.34726874816579234,0.6527312518342077,0.5036555743863353
Imran Tahir,631,1359.9,774,1923.4,38,73.2,218,414.0,2.155150554675119,8.486212221486873,0.3044341495698213,0.05382748731524377,631,8.571896172054798,0.2539347858496795,0.4614409175767874,0.3335622736230123,0.2134514699959726,0.35245481026672665,0.6475451897332734,0.4450768195236548
Iqbal Abdulla,517,1082.3,647,1519.4,27,49.1,167,317.6,2.0934235976789166,8.42317287258616,0.2934491360990484,0.04536634944100527,517,8.531643309591086,0.19481183310970546,0.4272743243643319,0.2680242130335277,0.16753926701570682,0.3439803105061794,0.6560196894938206,0.41464230047043565
J Botha,421,827.6,474,994.8,19,43.3,157,301.6,1.9657957244655582,7.212179797003383,0.36442725954567423,0.05231996133397776,421,7.471314386304724,0.14056609801290654,0.6480369731527537,0.32188531828095956,0.1288763592428514,0.1207475599262049,0.8792524400737951,0.5356953629387919
J Suchith,180,368.1,287,650.1,6,11.5,47,92.9,2.045,10.596577017114914,0.2523770714479761,0.031241510459114368,180,10.39150106300776,0.042702276744829945,0.2995282338326716,0.158616404441921,0.031816351188078934,0.7355391493388426,0.26446085066115743,0.193777202016856
J Theron,118,293.4,157,416.0,7,14.8,35,71.5,2.4864406779661015,8.507157464212678,0.24369461486025906,0.05044308111792775,118,8.848249774929744,0.02679275019700552,0.2725232635514234,0.3073474285612791,0.006846556584776481,0.4106359779663269,0.5893640220336731,0.3269551143223546
J Yadav,157,333.5,163,381.8,3,6.5,65,134.7,2.124203821656051,6.86896551724138,0.4038980509745127,0.019490254872563718,157,7.541492597188393,0.03533320554597151,0.7708026373106435,0.06759383607333862,0.022553362867498997,0.13552229133482085,0.8644777086651791,0.4778018098282547
JA Morkel,1050,2221.4,1411,3291.8,52,113.9,375,700.1,2.1156190476190475,8.891149725398396,0.31516160979562435,0.05127397136940668,1050,8.925789630072197,0.43741613954379915,0.4948064451396792,0.31378331655341746,0.38219895287958117,0.42696056815988115,0.5730394318401189,0.46611406970218894
