bowler,pressure_balls,pressure_exposure,total_runs_conceded,weighted_runs_conceded,wickets,weighted_wickets,dot_balls,weighted_dot_balls,pressure_avg_score_per_ball,pressure_economy_raw,pressure_dot_rate_raw,pressure_wicket_rate_raw,reliability_raw,pressure_economy_reliable,pressure_exposure_norm,pressure_dot_rate_raw_norm,pressure_wicket_rate_raw_norm,reliability_raw_norm,pressure_economy_norm_temp,pressure_economy_norm,bowler_clutch_index,death_economy,middle_economy,pp_economy,death_bowler_score,set_batter_control_score,momentum_breaker_score,reliability_label,risk_score_raw,reward_score_raw,risk_score_norm,reward_score_norm,risk_reward_profile,bowler_role,strength_tags,weakness_tags,best_phase,death_finish_fit,high_pressure_chase_fit,collapse_situation_fit,controlled_chase_fit,comfortable_chase_fit,neutral_situation_fit
AB Dinda,684,1433.2,843,2043.4,37,77.0,282,518.0,2.095321637426901,8.554563215182807,0.3614289701367569,0.0537259279933017,684,8.629404115253596,0.26954614188656745,0.6387114193115816,0.3327756180816658,0.23479661699556986,0.3645620498775033,0.6354379501224967,0.48061227300406545,9.348837209302326,6.756756756756757,6.986486486486486,0.3758142834059506,0.4382441118713721,0.46171999048334145,High Reliability,8.629404115253596,20.757744906502932,0.3645620498775033,0.700591342661597,High Impact Control,Control Bowler,High Impact Control,No Major Weakness Tag,Middle,0.39374698690553084,0.4023375576132699,0.41284182890177884,0.4272510197588382,0.429369427815473,0.4090667949767237
AB McDonald,115,237.5,154,314.6,10,20.4,32,69.6,2.0652173913043477,7.947789473684212,0.29305263157894734,0.08589473684210526,115,8.464588914453243,0.014887227653185106,0.426041079755098,0.5819479368360367,0.005638340716874753,0.3298632410418254,0.6701367589581746,0.43894258717325335,6.5,7.888888888888889,9.243243243243244,0.0,0.4206434495143636,0.4815133950148942,Medium Reliability,8.464588914453243,18.94736842105263,0.3298632410418254,0.5969394150574227,Low Risk Support,Death Specialist,No Strong Specialist Tag,Weak at Death,Death,0.18280840715307867,0.2309597466545681,0.35439120126969437,0.37697137047545776,0.3778863273584023,0.2605514758797053
AC Thomas,140,335.6,157,414.1,7,14.0,61,114.6,2.3971428571428572,7.403456495828367,0.3414779499404052,0.04171632896305125,140,7.9955015306688,0.03578046131237622,0.5766579322552502,0.2397519798194413,0.015706806282722516,0.23110552101282567,0.7688944789871743,0.439332799885578,7.7560975609756095,6.5,6.275862068965517,0.0,0.327635620087265,0.5082740429298693,Medium Reliability,7.9955015306688,19.159713945172822,0.23110552101282567,0.6090971198608531,Low Risk Support,Strike Bowler,No Strong Specialist Tag,Weak at Death,Powerplay,0.1884303273532833,0.23925773164627023,0.32930183684445563,0.35606799551451407,0.36165285450442974,0.2436162649140926
AD Mascarenhas,120,287.3,145,380.8,4,10.200000000000001,46,107.8,2.3941666666666666,7.952662721893491,0.3752175426383571,0.03550295857988166,120,8.452828870813645,0.025493578685068054,0.6815978981398573,0.19162461791024576,0.007652033830044307,0.327387380173604,0.672612619826396,0.41464816033502383,11.0,5.428571428571429,8.0,0.0,0.32635844239625367,0.47190796607033025,Medium Reliability,8.452828870813645,20.53602506091194,0.327387380173604,0.6878969171825285,High Impact Control,Strike Bowler,High Impact Control,Weak at Death,Middle,0.17559604006881216,0.22278683667584517,0.3137994949025196,0.33856378712470714,0.34297827302164563,0.23227875768776693
AD Mathews,435,942.1,624,1444.2,17,36.6,116,224.70000000000002,2.1657471264367816,9.197749708098929,0.2385097123447617,0.038849379046810316,435,9.244706194709556,0.164952186228782,0.25639670571291295,0.21754523409441356,0.13451469995972615,0.4941025845342537,0.5058974154657463,0.31004678130476643,8.788732394366198,8.264591439688715,9.30841121495327,0.38378967661197744,0.39699117495073977,0.42365929781686507,High Reliability,9.244706194709556,13.8679545695786,0.4941025845342537,0.3061208803294547,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,No Major Weakness Tag,Middle,0.33394314946807013,0.3379301115885589,0.32809340611426874,0.3325227904992221,0.32817557081692345,0.3195415716590078
AD Russell,751,1547.4,1199,2795.5,51,105.3,259,468.3,2.0604527296937416,10.839472663823187,0.3026366808840636,0.0680496316401706,751,10.765424908791903,0.29386833642152793,0.4558502661350019,0.44372378739734447,0.2617801047120419,0.8142619369273627,0.1857380630726373,0.3151813937163257,10.134146341463413,10.172185430463577,8.631578947368421,0.43214687733915086,0.4328323065189899,0.5105543519273892,High Reliability,10.765424908791903,18.534315626211708,0.8142619369273627,0.5732903460755617,Moderate Profile,Death Specialist,No Strong Specialist Tag,No Major Weakness Tag,Powerplay,0.389111611727614,0.39695235918643784,0.3847535470386141,0.38154106584869507,0.3756585202085619,0.35994275383192226
AF Milne,118,278.9,201,490.6,2,6.5,31,70.4,2.363559322033898,10.554320544998209,0.25242022230190037,0.023305844388669776,118,10.286138129291007,0.023704555619449237,0.29966244556365607,0.09714852961550798,0.006846556584776481,0.7133569217430249,0.2866430782569751,0.18392761142716912,9.200000000000001,9.405405405405405,10.909090909090908,0.0,0.2436358611353596,0.28118752257032736,Medium Reliability,10.286138129291007,13.786303334528508,0.7133569217430249,0.30144599199975,Moderate Profile,Balanced Support Bowler,No Strong Specialist Tag,"Weak at Death, Weak vs Set Batters, Poor Momentum Control",Death,0.08918701473005786,0.1173057669870906,0.18886127008518894,0.19472991034189902,0.19174449785648948,0.12332520028565604
AG Murtaza,171,292.6,195,411.3,7,5.8,62,101.5,1.7111111111111112,8.43403964456596,0.34688995215311,0.019822282980177713,171,8.709874030008505,0.02662236704789897,0.5934908363348285,0.0701656507107613,0.028191703584373742,0.38150351022548534,0.6184964897745147,0.3560175942458203,14.307692307692307,7.252173913043478,3.488372093023256,0.0,0.493548460333652,0.3605509080328283,Medium Reliability,8.709874030008505,18.335611756664388,0.38150351022548534,0.5619136853276373,Low Risk Support,Strike Bowler,No Strong Specialist Tag,Weak at Death,Powerplay,0.14731579030403538,0.1833708811073182,0.3394948820016737,0.34900963323035444,0.34213308992596286,0.2453454853027146
AJ Tye,278,692.5,414,1164.6,12,36.6,73,160.7,2.491007194244604,10.090397111913356,0.23205776173285197,0.052851985559566786,278,10.023755422326262,0.11179264370753735,0.23632925904382263,0.3260062576215048,0.07128473620620218,0.6581170691897047,0.3418829308102953,0.25602349929341967,11.195121951219512,7.572815533980583,8.451612903225808,0.2027772108392112,0.39388788590508306,0.4566336943038372,High Reliability,10.023755422326262,14.245487364620939,0.6581170691897047,0.3277362748368555,Moderate Profile,Death Specialist,No Strong Specialist Tag,Weak at Death,Middle,0.23444338427750588,0.25982903262396845,0.3074503209921418,0.3097940398159196,0.3029008204853364,0.24257399003911762
AM Nayar,159,314.1,190,444.0,7,10.9,56,95.60000000000001,1.9754716981132077,8.48137535816619,0.3043616682585164,0.0347023241006049,159,8.761722791193899,0.031201414180137596,0.46121547957569187,0.18542308428760718,0.023358840112766815,0.3924193131611502,0.6075806868388498,0.3489970493045545,9.0,7.208955223880597,6.315789473684211,0.0,0.46504035869639726,0.38197094225104106,Medium Reliability,8.761722791193899,16.953199617956066,0.3924193131611502,0.48276457790599214,Low Risk Support,Strike Bowler,No Strong Specialist Tag,Weak at Death,Powerplay,0.14804872968070978,0.1862458239058139,0.33107934434263925,0.34155908933263646,0.3357569238630444,0.23611071747801626
