bowler,death_balls,death_runs_conceded,death_pressure_exposure,death_weighted_runs_conceded,death_wickets,death_weighted_wickets,death_dot_balls,death_weighted_dot_balls,death_economy_raw,death_pressure_economy_raw,death_dot_rate_raw,death_wicket_rate_raw,death_pressure_exposure_norm,death_dot_rate_raw_norm,death_wicket_rate_raw_norm,death_balls_norm,death_eco_temp,death_pressure_economy_norm,death_bowler_score
Navdeep Saini,89,106,325.5,420.1,10,32.2,38,130.9,7.146067415730338,7.743778801843318,0.42696629213483145,0.11235955056179775,0.08706357724603826,0.9837735047685237,0.6404494382022473,0.06373626373626373,0.03849035885371466,0.9615096411462853,0.6808061259558862
Naveen-ul-Haq,83,147,237.1,444.3,5,15.399999999999999,26,75.2,10.626506024096386,11.243357233234923,0.3132530120481928,0.060240963855421686,0.031251972978092055,0.5471887550200802,0.30769230769230776,0.050549450549450536,0.5968209586784532,0.4031790413215468,0.3218316180066778
P Awana,65,126,231.29999999999998,486.7,6,19.0,19,65.2,11.63076923076923,12.625162127107654,0.2923076923076923,0.09230769230769231,0.027590125639244886,0.466772402854877,0.5124260355029586,0.010989010989010978,0.8172772137279887,0.18272278627201133,0.2650300828115589
P Kumar,205,298,706.4,1048.6,13,45.7,56,189.1,8.721951219512196,8.90656851642129,0.2731707317073171,0.06341463414634146,0.3275459309299829,0.3932989690721649,0.32795497185741096,0.31868131868131866,0.22400444048902557,0.7759955595109744,0.4968492555223855
PJ Cummins,143,217,471.4,775.3,10,27.099999999999998,42,133.1,9.104895104895105,9.868052609249045,0.2937062937062937,0.06993006993006994,0.1791779784077277,0.47214211904933534,0.36955352339967734,0.1824175824175824,0.3774017712803792,0.6225982287196208,0.4313669635445872
PP Chawla,134,225,499.7,913.4,13,46.0,38,128.6,10.074626865671643,10.967380428256954,0.2835820895522388,0.09701492537313433,0.19704526800934397,0.43327178540288225,0.54247990815155,0.16263736263736264,0.552790999618558,0.44720900038144196,0.39749401530952905
PP Ojha,98,141,350.6,541.7,9,30.7,22,74.89999999999999,8.63265306122449,9.270393610952652,0.22448979591836735,0.09183673469387756,0.10291053728139403,0.20639596044603403,0.5094191522762952,0.08351648351648353,0.2820499128918863,0.7179500871081137,0.4182337819761631
R Ashwin,160,215,489.4,707.0,12,41.1,44,127.7,8.0625,8.6677564364528,0.275,0.075,0.19054233221794298,0.40032216494845363,0.401923076923077,0.21978021978021975,0.18590382509542236,0.8140961749045776,0.49594208140162166
R Bhatia,84,114,275.9,420.2,10,29.6,29,92.3,8.142857142857142,9.138093512142081,0.34523809523809523,0.11904761904761904,0.055748468969000556,0.6699905907380133,0.6831501831501832,0.052747252747252754,0.260942458101566,0.739057541898434,0.5429352900621666
R Vinay Kumar,277,470,939.8,1684.8999999999999,22,76.4,62,195.4,10.180505415162454,10.756969567993188,0.22382671480144403,0.07942238267148015,0.47490371866910785,0.20385016189660932,0.4301582893640657,0.4769230769230769,0.5192215785800383,0.48077842141996174,0.4140020032417955
RA Jadeja,168,253,555.1,881.1999999999999,9,29.8,52,171.6,9.035714285714285,9.524770311655557,0.30952380952380953,0.05357142857142857,0.23202222362522884,0.532871052200949,0.26510989010989017,0.23736263736263738,0.3226337428214854,0.6773662571785146,0.455213975754696
RJ Harris,68,86,215.70000000000002,285.5,4,15.7,22,71.5,7.588235294117647,7.941585535465925,0.3235294117647059,0.058823529411764705,0.017741019003725003,0.5866434202546997,0.29864253393665163,0.017582417582417575,0.07004888923046204,0.929951110769538,0.5069594742164092
RP Singh,158,216,535.4,811.2,14,38.0,38,103.7,8.20253164556962,9.090773253642137,0.24050632911392406,0.08860759493670886,0.2195845697329376,0.26788899038670666,0.4888023369036028,0.21538461538461537,0.25339287782208375,0.7466071221779162,0.4671269052187348
Rashid Khan,109,145,329.9,516.6,11,29.5,44,113.89999999999999,7.9816513761467895,9.395574416489847,0.4036697247706422,0.10091743119266056,0.08984153039964642,0.8943298969072164,0.5673959068454483,0.1076923076923077,0.30202153964989353,0.6979784603501065,0.5608830822022479
S Kaul,183,262,738.4,1112.1,11,35.3,42,148.6,8.59016393442623,9.036565547128927,0.22950819672131148,0.060109289617486336,0.34774922659258783,0.22566334291025858,0.30685161832702823,0.27032967032967037,0.24474445862360072,0.7552555413763993,0.45003778275105233
SK Raina,84,108,283.5,405.09999999999997,7,17.0,25,80.0,7.714285714285715,8.573544973544973,0.2976190476190476,0.08333333333333333,0.060546751688869235,0.48716453935526083,0.45512820512820523,0.052747252747252754,0.17087311678957184,0.8291268832104282,0.4930096960483987
SK Trivedi,71,99,249.8,382.9,7,23.7,24,76.7,8.366197183098592,9.196957566052841,0.3380281690140845,0.09859154929577464,0.03927015594418841,0.6423091815497797,0.552546045503792,0.024175824175824173,0.270333761417789,0.729666238582211,0.5026623347236988
SL Malinga,421,522,1379.8,1830.1,44,136.2,133,397.90000000000003,7.439429928741092,7.958109870995797,0.3159144893111639,0.10451306413301663,0.752699034029926,0.5574070899755939,0.5903526402338755,0.7934065934065935,0.07268521881957501,0.927314781180425,0.7463576339001908
SM Curran,153,265,571.9,1058.6,17,62.3,41,146.6,10.392156862745098,11.106137436614793,0.2679738562091503,0.1111111111111111,0.2426289538480964,0.37334636030815527,0.6324786324786326,0.20439560439560442,0.5749286042544146,0.4250713957455854,0.4067738905850874
SN Thakur,204,302,676.7,1102.1,20,67.39999999999999,68,208.5,8.882352941176471,9.771833899807891,0.3333333333333333,0.09803921568627451,0.3087947471431277,0.6242840778923251,0.5490196078431373,0.31648351648351647,0.36205082235614583,0.6379491776438542,0.5359105130422622
