bowler,set_batter_balls,set_batter_runs,set_batter_pressure_exposure,set_batter_weighted_runs,set_batter_wickets,set_batter_weighted_wickets,set_batter_dot_balls,set_batter_economy_raw,set_batter_dot_rate_raw,set_batter_wicket_rate_raw,set_batter_pressure_exposure_norm,set_batter_dot_rate_raw_norm,set_batter_wicket_rate_raw_norm,set_batter_balls_norm,set_batter_eco_temp,set_batter_economy_norm,set_batter_control_score
AC Thomas,32,54,120.4,194.5,2,6.300000000000001,8,10.125,0.25,0.0625,0.022936292214320295,0.440028901734104,0.3625,0.007373271889400922,0.594007319304666,0.405992680695334,0.327635620087265
AD Mascarenhas,40,62,130.5,204.9,0,0.0,13,9.3,0.325,0.0,0.026696950515694234,0.5971820809248555,0.0,0.014746543778801843,0.5059469350411709,0.49405306495882906,0.32635844239625367
AD Mathews,218,310,539.3000000000001,836.1,10,21.7,53,8.53211009174312,0.24311926605504589,0.045871559633027525,0.17891052611981983,0.4256111788725673,0.26605504587155965,0.17880184331797236,0.42398247395855176,0.5760175260414482,0.39699117495073977
AD Russell,262,446,737.9,1419.3,23,58.1,83,10.213740458015268,0.31679389312977096,0.08778625954198473,0.25285772796663813,0.5799872038123813,0.5091603053435114,0.21935483870967742,0.6034794633441121,0.39652053665588793,0.4328323065189899
AF Milne,27,53,86.4,168.1,2,6.5,5,11.777777777777779,0.18518518518518517,0.07407407407407407,0.010276650407714936,0.30421751230999783,0.4296296296296296,0.0027649769585253448,0.7704245874419708,0.22957541255802916,0.2436358611353596
AG Murtaza,78,88,169.5,215.9,2,3.0,31,6.769230769230769,0.3974358974358974,0.02564102564102564,0.04121830435268273,0.7489625018526752,0.14871794871794872,0.049769585253456226,0.23581298238205822,0.7641870176179417,0.493548460333652
AJ Tye,133,200,409.0,676.1,9,33.9,33,9.022556390977442,0.24812030075187969,0.06766917293233082,0.1303943106080352,0.43609022556390975,0.39248120300751876,0.10046082949308754,0.4763326431357439,0.523667356864256,0.39388788590508306
AL Menaria,28,38,93.10000000000001,135.1,1,2.7,11,8.142857142857142,0.39285714285714285,0.03571428571428571,0.012771344528428347,0.7393682906688687,0.20714285714285713,0.003686635944700461,0.38243366880146373,0.6175663311985362,0.4440646580625891
AM Nayar,85,111,213.9,317.20000000000005,5,8.7,29,7.835294117647059,0.3411764705882353,0.058823529411764705,0.057750307182485014,0.6310778646718803,0.3411764705882353,0.05622119815668202,0.34960443463753293,0.6503955653624671,0.46504035869639726
AN Ahmed,69,101,197.1,323.3,1,1.5,20,8.782608695652174,0.2898550724637681,0.014492753623188406,0.05149495476039766,0.5235402529948898,0.08405797101449275,0.04147465437788018,0.4507206597981886,0.5492793402018115,0.34924138743608285
AR Patel,676,893,1749.1000000000001,2436.0,29,67.7,190,7.926035502958579,0.28106508875739644,0.042899408284023666,0.6293703689913246,0.505121934535007,0.24881656804733726,0.6009216589861751,0.3592901573758775,0.6407098426241224,0.523321444959412
AS Joseph,69,136,215.1,479.0,4,10.8,14,11.82608695652174,0.2028985507246377,0.057971014492753624,0.05819711806977697,0.3413336684259027,0.336231884057971,0.04147465437788018,0.7755811024039674,0.22441889759603262,0.241093585321447
AS Rajpoot,49,94,152.4,342.6,4,13.6,13,11.510204081632653,0.2653061224489796,0.08163265306122448,0.03485124920877239,0.47210097911997173,0.473469387755102,0.023041474654377878,0.7418638086524636,0.2581361913475364,0.30885606168896607
AS Roy,33,62,89.0,187.3,2,5.1,10,11.272727272727273,0.30303030303030304,0.06060606060606061,0.01124474066351417,0.5511473112629182,0.3515151515151515,0.008294930875576038,0.7165155673847348,0.28348443261526524,0.3092633766880117
AUK Pathan,27,44,92.7,155.3,0,0.0,6,9.777777777777777,0.2222222222222222,0.0,0.012622407565997695,0.3818240205523442,0.0,0.0027649769585253448,0.5569448680153162,0.4430551319846838,0.25206403978517766
Abhishek Sharma,78,124,181.2,290.7,2,4.2,17,9.538461538461538,0.21794871794871795,0.02564102564102564,0.04557471050377927,0.3728694234474581,0.14871794871794872,0.049769585253456226,0.5314002862035798,0.4685997137964202,0.29650527500992485
Akash Madhwal,38,71,96.5,188.2,4,10.8,9,11.210526315789474,0.23684210526315788,0.10526315789473684,0.014037308709088876,0.4124581685427441,0.6105263157894736,0.012903225806451611,0.7098762459671595,0.2901237540328405,0.329457172656629
Anand Rajan,55,97,131.0,267.0,4,7.0,11,10.581818181818182,0.2,0.07272727272727272,0.02688312171873255,0.3352601156069364,0.42181818181818176,0.028571428571428574,0.6427680279464358,0.35723197205356416,0.29875531051313403
Ankit Sharma,54,56,142.5,159.8,1,2.7,19,6.222222222222221,0.35185185185185186,0.018518518518518517,0.031165059388613768,0.6534467994005566,0.1074074074074074,0.027649769585253454,0.17742536681237492,0.8225746331876251,0.47862578584467613
Ankit Soni,52,79,124.4,208.10000000000002,2,5.4,13,9.115384615384615,0.25,0.038461538461538464,0.0244256618386268,0.440028901734104,0.2230769230769231,0.02580645161290323,0.4862411147864028,0.5137588852135972,0.3394614312188226
