batter,pressure_balls,pressure_exposure,total_runs,weighted_runs,total_boundaries,weighted_boundaries,dismissals,weighted_dismissals,pressure_avg_score_per_ball,pressure_adjusted_sr_raw,pressure_boundary_rate_raw,pressure_dismissal_rate_raw,reliability_raw,pressure_adjusted_sr_reliable,pressure_adjusted_sr_reliable_norm,pressure_exposure_norm,pressure_boundary_rate_raw_norm,reliability_raw_norm,pressure_dismissal_rate_norm_temp,pressure_dismissal_rate_norm,batter_clutch_index
D Wiese,75,262.7,100,351.3,13,51.4,4,20.5,3.5026666666666664,133.7266844309098,0.19566044918157594,0.07803578226113438,75,119.12366003691498,0.43287519400098606,0.06640350402855134,0.40851530147304804,0.016489556614144377,0.22295937788895534,0.7770406221110446,0.32788556933028806
DA Miller,1233,2075.4,1699,2901.9,199,347.3,38,94.4,1.6832116788321168,139.8236484533102,0.16734123542449647,0.04548520767081045,1233,138.16330063540735,0.5759730049765087,0.5565078678418861,0.34938821578023666,0.44082081348479296,0.12995773620231554,0.8700422637976845,0.5472263563285037
DA Warner,2395,2249.4,3285,2725.7,464,384.6,82,123.3,0.9392066805845511,121.17453543167065,0.1709789277140571,0.054814617231261666,2395,120.68464970599074,0.4446072539337682,0.6035526956145568,0.3569832763484405,0.8666178087211432,0.15661319208931904,0.843386807910681,0.5664322842479244
DB Das,101,260.6,120,298.8,16,41.199999999999996,6,16.0,2.5801980198019803,114.65848042977743,0.158096699923254,0.06139677666922486,101,108.88385891194477,0.3559150687177409,0.06583572162439844,0.3300867462034001,0.026016855991205567,0.17541936191207103,0.824580638087929,0.29140677594995984
DB Ravi Teja,141,273.9,148,283.1,17,33.0,10,33.699999999999996,1.9425531914893615,103.35889010587806,0.12048192771084339,0.12303760496531581,141,101.75162134672746,0.30231071743493343,0.06943167685070026,0.2515516611902155,0.04067423964822279,0.35153601418661656,0.6484639858133834,0.2434909060512175
DH Yagnik,38,141.8,32,119.6,4,14.5,3,11.5,3.7315789473684213,84.34414668547248,0.10225669957686882,0.08110014104372355,38,91.65947439027377,0.2264603288710778,0.033715459903747365,0.2134995939650383,0.0029314767314034453,0.23171468869635298,0.768285311303647,0.20662041526401156
DJ Bravo,600,1208.1,709,1491.8,82,171.79999999999998,33,93.4,2.0135,123.48315536793312,0.14220677096266865,0.07731148083767901,600,121.46284522008617,0.4504560027062028,0.32201373492672897,0.29691050058569307,0.2088677171124954,0.22088994525051142,0.7791100547494886,0.39836288619750404
DJ Harris,44,29.2,45,19.7,6,3.0,2,1.3,0.6636363636363636,67.46575342465754,0.10273972602739727,0.044520547945205484,44,83.2920140742667,0.16357231118759386,0.003271508138214459,0.214508094645081,0.005130084279956029,0.12720156555772993,0.8727984344422701,0.186308796385663
DJ Hooda,548,977.7,637,1091.4,63,109.4,39,92.2,1.784124087591241,111.62933415158025,0.11189526439603151,0.09430295591694794,548,110.4244670357226,0.36749394537474944,0.25971989401395124,0.2336237489965628,0.18981311835837303,0.2694370169055655,0.7305629830944345,0.33551338536537384
DJ Hussey,466,729.4,583,892.4,69,98.0,18,37.2,1.565236051502146,122.34713463120373,0.1343570057581574,0.05100082259391281,466,119.91224982642845,0.4388020638940008,0.19258638403720324,0.28052114232536507,0.15976548186148773,0.145716635982608,0.854283364017392,0.36550943239480804
DJ Mitchell,119,164.3,170,224.29999999999998,21,28.4,6,7.5,1.3806722689075632,136.51856360316492,0.17285453438831405,0.04564820450395617,119,124.89151030220569,0.4762251061344662,0.03979884280538582,0.3608993157380255,0.03261267863686332,0.13042344143987478,0.8695765585601252,0.3444342660271095
DJ Willey,62,148.8,49,135.1,6,13.9,3,5.8,2.4000000000000004,90.79301075268816,0.09341397849462366,0.03897849462365591,62,93.6618110621679,0.24150945719373906,0.03560806791759044,0.19503706419029004,0.01172590692561378,0.11136712749615972,0.8886328725038403,0.22360312937878332
DJG Sammy,63,129.3,75,160.3,6,14.4,4,13.100000000000001,2.0523809523809526,123.9752513534416,0.11136890951276102,0.10131477184841454,63,112.13625670409698,0.38035938540906844,0.030335802736170446,0.23252478380088593,0.012092341517039208,0.2894707767097558,0.7105292232902443,0.2659564058375746
DJM Short,31,18.4,48,29.1,7,4.4,2,1.8,0.5935483870967742,158.1521739130435,0.23913043478260873,0.09782608695652174,31,120.53917979753685,0.44351393363946556,0.0003514843454279987,0.4992753623188408,0.00036643459142543175,0.2795031055900621,0.7204968944099379,0.3244718293024056
DL Chahar,52,149.3,77,160.0,8,15.100000000000001,6,21.4,2.871153846153846,107.16677829872738,0.10113864701942397,0.14333556597454786,52,102.29047690029374,0.3063606389525404,0.035743254204293515,0.21116523574661555,0.008061561011359472,0.4095301884987081,0.5904698115012919,0.22162390708570032
DL Vettori,59,206.5,62,213.20000000000002,8,24.900000000000002,3,12.100000000000001,3.5,103.24455205811138,0.1205811138014528,0.05859564164648911,59,100.48059397912577,0.2927579512966805,0.0512085654031255,0.2517587497248515,0.010626603151337488,0.16741611898996886,0.8325838810100311,0.24996108463172875
DP Conway,224,160.4,282,176.1,38,25.0,7,10.8,0.7160714285714286,109.78802992518702,0.15586034912718205,0.06733167082294264,224,107.49443385232857,0.3454724511947317,0.03874438976910182,0.32541751681402564,0.07108831073653353,0.19237620235126465,0.8076237976487354,0.28617611232917045
DPMD Jayawardene,860,1017.1,1042,1148.9,138,151.1,33,54.4,1.1826744186046512,112.95841116900993,0.1485596303215023,0.05348539966571625,860,112.09361514026888,0.38003890065995727,0.27037257340615367,0.3101745008833791,0.3041407108831074,0.15281542761633213,0.8471845723836678,0.3829558139485534
DR Sams,38,113.10000000000001,29,76.3,2,5.8999999999999995,8,31.1,2.9763157894736842,67.46242263483641,0.05216622458001768,0.2749778956675508,38,84.36963900477184,0.17167150653795904,0.025955767046990753,0.10891675374433996,0.0029314767314034453,0.7856511304787165,0.2143488695212835,0.11207187754807163
